MSZoning,Street,LotShape,LandSlope,Neighborhood,HouseStyle,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,Heating,HeatingQC,CentralAir,KitchenQual,FireplaceQu,GarageFinish,GarageType_NoNull,OverallQual,GrLivArea_capped,TotalBsmtSF_capped,2ndFlrSF,BsmtFinSF1,1stFlrSF_capped,LotArea_capped,GarageArea_capped,YearBuilt,LotFrontage_capped
RL,Pave,IR1,Gtl,Veenker,1Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Ex,Gd,Fin,Attchd,8,1494.0,1494.0,0,437,1494.0,9549.0,481.0,1995,30.0
RL,Pave,Reg,Gtl,NridgHt,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,RFn,Attchd,7,1314.0,1314.0,0,904,1314.0,5063.0,626.0,2007,34.0
RL,Pave,Reg,Gtl,NWAmes,2Story,Gd,CBlock,TA,No,TA,GasA,Gd,Y,TA,Gd,Unf,Attchd,6,1743.0,702.0,702,384,1041.0,11700.0,539.0,1968,90.0
RL,Pave,IR1,Gtl,SawyerW,2Story,Gd,PConc,Ex,Mn,Ex,GasA,Ex,Y,Gd,TA,RFn,Attchd,7,2127.0,1104.0,1215,48,912.0,13125.0,833.0,1991,103.0
RL,Pave,Reg,Gtl,SWISU,2Story,TA,PConc,TA,No,TA,GasA,Ex,N,Fa,,NoGarage,,5,1716.0,780.0,780,210,936.0,5687.0,0.0,1912,55.0
RL,Pave,IR1,Gtl,NridgHt,1Story,Gd,PConc,Gd,Mn,Gd,GasA,Ex,Y,Gd,Gd,RFn,Attchd,7,1358.0,1358.0,0,733,1358.0,6371.0,484.0,2009,44.0
RL,Pave,IR1,Gtl,Gilbert,SLvl,TA,PConc,Gd,No,Gd,GasA,Ex,Y,TA,TA,RFn,BuiltIn,7,1430.0,384.0,656,0,774.0,9967.0,400.0,2000,76.0
FV,Pave,Reg,Gtl,Somerst,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,7,1221.0,1221.0,0,410,1221.0,7500.0,400.0,2004,62.0
FV,Pave,Reg,Gtl,Somerst,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,Fin,BuiltIn,7,2094.0,912.0,1182,0,912.0,9375.0,615.0,2003,75.0
RL,Pave,IR1,Gtl,Sawyer,1Story,TA,CBlock,TA,No,TA,GasA,Gd,Y,TA,Po,Unf,Detchd,5,864.0,864.0,0,553,864.0,8281.0,360.0,1965,60.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,Ex,,RFn,2Types,5,1053.0,1008.0,0,567,1053.0,8973.0,750.0,1958,69.0
RL,Pave,IR1,Gtl,Sawyer,SFoyer,TA,CBlock,Gd,Gd,Gd,GasA,TA,Y,TA,TA,Fin,Basment,5,1701.0,1390.0,0,1390,1701.0,16647.0,611.0,1975,
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,Fa,Y,TA,,RFn,Attchd,5,1056.0,1056.0,0,846,1056.0,8176.0,308.0,1958,70.0
RM,Pave,Reg,Gtl,OldTown,1Story,TA,CBlock,TA,No,TA,GasA,Ex,Y,TA,,Unf,Attchd,3,1163.0,1162.0,0,256,1163.0,5820.0,220.0,1955,49.0
FV,Pave,Reg,Gtl,Somerst,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,7,1665.0,813.0,843,0,822.0,8125.0,562.0,2007,65.0
RL,Pave,Reg,Gtl,Edwards,1.5Fin,TA,BrkTil,TA,Mn,TA,GasA,Gd,Y,Gd,,Unf,Detchd,6,1196.0,684.0,512,0,684.0,12354.0,528.0,1920,67.0
RL,Pave,Reg,Gtl,NridgHt,2Story,Ex,PConc,Ex,No,Ex,GasA,Ex,Y,Ex,Gd,Fin,BuiltIn,9,2829.164657188144,1926.0,1174,0,1966.0,13518.0,820.0,2008,104.0
RL,Pave,Reg,Gtl,NWAmes,1Story,TA,PConc,TA,No,TA,GasA,Gd,Y,TA,Gd,Unf,Attchd,7,1682.0,1304.0,0,0,1682.0,10400.0,530.0,1970,80.0
RM,Pave,Reg,Gtl,Edwards,SLvl,TA,PConc,Gd,Gd,Gd,GasA,Gd,Y,TA,,Fin,Basment,5,1072.0,547.0,0,547,1072.0,3675.0,525.0,2005,35.0
FV,Pave,Reg,Gtl,Somerst,2Story,TA,PConc,Gd,Mn,Gd,GasA,Ex,Y,Gd,,Unf,Attchd,7,1547.0,756.0,783,24,764.0,8640.0,614.0,2009,72.0
RL,Pave,IR1,Gtl,Somerst,1Story,Ex,PConc,Ex,No,Ex,GasA,Ex,Y,Ex,Gd,Fin,Attchd,9,1905.0,1905.0,0,0,1905.0,11670.0,788.0,2006,84.0
RL,Pave,IR2,Gtl,CollgCr,2Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,TA,RFn,Attchd,7,1661.0,799.0,834,385,827.0,10667.0,550.0,1996,43.0
RL,Pave,Reg,Gtl,NAmes,SLvl,TA,CBlock,TA,Gd,TA,GasA,TA,Y,TA,,RFn,Attchd,6,1350.0,1248.0,0,624,1350.0,9020.0,520.0,1964,82.0
RL,Pave,Reg,Gtl,SawyerW,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,TA,RFn,Attchd,6,1845.0,1055.0,790,0,1055.0,11218.0,462.0,1992,70.0
RL,Pave,Reg,Gtl,Sawyer,SLvl,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,RFn,BuiltIn,5,1601.0,533.0,580,0,1021.0,13825.0,300.0,1958,85.0
RL,Pave,IR2,Gtl,Gilbert,2Story,TA,PConc,Gd,No,Gd,GasA,Gd,Y,TA,TA,Fin,Attchd,6,1498.0,691.0,807,592,691.0,13031.0,409.0,1995,
FV,Pave,Reg,Gtl,Somerst,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,RFn,Attchd,7,1947.0,991.0,956,222,991.0,12552.0,678.0,2004,100.0
RL,Pave,IR1,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Attchd,5,1098.0,1098.0,0,902,1098.0,7390.0,260.0,1955,
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,Gd,No,Gd,GasA,Gd,Y,TA,,Unf,Attchd,6,1054.0,1054.0,0,602,1054.0,9750.0,460.0,1969,65.0
RM,Pave,Reg,Gtl,OldTown,1Story,TA,CBlock,TA,No,TA,GasA,Gd,Y,TA,,Fin,Attchd,5,928.0,928.0,0,308,928.0,6000.0,288.0,1957,50.0
RL,Pave,Reg,Gtl,BrkSide,1.5Fin,TA,PConc,TA,No,TA,GasA,Ex,Y,TA,,Unf,Detchd,7,1820.0,1026.0,687,329,1133.0,9120.0,240.0,1925,60.0
RL,Pave,Reg,Gtl,SWISU,2.5Fin,TA,BrkTil,TA,No,TA,GasA,Ex,Y,TA,TA,Fin,Basment,7,2829.164657188144,824.0,998,523,1687.0,15863.0,672.0,1920,102.0
RL,Pave,Reg,Gtl,ClearCr,1.5Fin,TA,CBlock,TA,Av,TA,GasA,Ex,Y,TA,TA,Unf,Attchd,4,1788.0,1104.0,684,0,1104.0,11250.0,304.0,1957,
RM,Pave,Reg,Gtl,OldTown,1Story,TA,BrkTil,TA,No,TA,GasW,TA,N,TA,,Unf,Detchd,5,1022.0,1022.0,0,247,1022.0,7200.0,280.0,1910,60.0
RL,Pave,Reg,Gtl,CollgCr,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,7,1274.0,1274.0,0,925,1274.0,8814.0,508.0,2005,68.0
RL,Pave,IR1,Gtl,StoneBr,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Ex,Gd,Fin,BuiltIn,9,2504.0,1122.0,1370,0,1134.0,11198.0,656.0,2005,77.0
RL,Pave,Reg,Gtl,CollgCr,2Story,Gd,PConc,Ex,Mn,Ex,GasA,Ex,Y,Ex,Ex,Fin,Attchd,9,2153.0,1440.0,677,904,1476.0,11050.0,736.0,2000,
RL,Pave,Reg,Gtl,CollgCr,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,RFn,Attchd,8,2031.0,1128.0,903,804,1128.0,9473.0,577.0,2002,75.0
RL,Pave,Reg,Gtl,BrkSide,2Story,TA,PConc,TA,No,TA,GasA,Ex,Y,TA,Gd,Unf,Detchd,6,1824.0,764.0,764,0,1060.0,13515.0,520.0,1919,60.0
RL,Pave,IR1,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,Gd,Y,TA,Gd,RFn,Attchd,5,1008.0,1008.0,0,486,1008.0,11425.0,275.0,1954,
RL,Pave,Reg,Gtl,Crawfor,1Story,TA,PConc,TA,No,TA,GasA,TA,N,Gd,Gd,Unf,Detchd,5,694.0,440.0,0,365,694.0,4280.0,352.0,1913,40.0
RL,Pave,IR1,Gtl,Mitchel,1Story,TA,CBlock,TA,Gd,TA,GasA,TA,Y,TA,,Unf,Attchd,6,1728.0,1728.0,0,936,1728.0,12640.0,574.0,1976,55.0
RL,Pave,IR1,Gtl,CollgCr,1Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,7,1588.0,1588.0,0,1162,1588.0,10264.0,472.0,1999,78.0
RL,Pave,IR1,Gtl,Sawyer,1Story,TA,CBlock,Gd,No,Gd,GasA,TA,Y,TA,Gd,Unf,Detchd,5,1392.0,1392.0,0,1302,1392.0,11341.0,528.0,1957,
RL,Pave,IR1,Gtl,NoRidge,2Story,Gd,PConc,Ex,Av,Ex,GasA,Ex,Y,Ex,TA,Fin,Attchd,10,2829.164657188144,2154.1927632034717,2065,2096,2129.096057431453,15623.0,813.0,1996,130.7618378042347
RL,Pave,Reg,Gtl,NWAmes,2Story,TA,CBlock,Gd,No,Gd,GasA,TA,Y,TA,Gd,RFn,Attchd,7,1969.0,808.0,808,0,1161.0,11952.0,534.0,1977,92.0
RL,Pave,Reg,Gtl,Blmngtn,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,Gd,Fin,Attchd,7,1504.0,1346.0,0,16,1504.0,3182.0,457.0,2005,43.0
RL,Pave,Reg,Gtl,Edwards,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Attchd,5,1276.0,1276.0,0,0,1276.0,9571.0,350.0,1958,68.0
RL,Pave,IR1,Gtl,CollgCr,1Story,Gd,PConc,Ex,No,Ex,GasA,Ex,Y,Ex,,Fin,Attchd,9,1800.0,1800.0,0,0,1800.0,11923.0,702.0,2007,122.0
RL,Grvl,Reg,Gtl,Edwards,SFoyer,TA,CBlock,Gd,Av,Gd,GasA,TA,Y,TA,,NoGarage,,6,816.0,816.0,0,816,816.0,11841.0,0.0,1990,81.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,NoBasement,NoBasement,NoBasement,GasA,TA,Y,TA,,Unf,Detchd,5,1040.0,0.0,0,0,1040.0,7200.0,625.0,1950,60.0
RL,Pave,IR1,Gtl,CollgCr,1Story,TA,CBlock,Gd,No,Gd,GasA,TA,Y,TA,,Unf,Detchd,5,924.0,924.0,0,0,924.0,7990.0,280.0,1975,88.0
RL,Pave,Reg,Mod,NAmes,1.5Unf,TA,CBlock,TA,No,TA,GasA,Gd,Y,Gd,,Unf,Detchd,6,832.0,832.0,0,0,832.0,7227.0,528.0,1954,59.0
RL,Pave,IR1,Gtl,Gilbert,2Story,Gd,PConc,Gd,No,Gd,GasA,Gd,Y,Gd,TA,Fin,Attchd,7,1886.0,930.0,930,0,956.0,11214.0,431.0,1998,
RL,Pave,IR1,Gtl,SawyerW,1Story,Gd,CBlock,Gd,Mn,Gd,GasA,Gd,Y,Gd,TA,RFn,Attchd,7,2196.0,2154.1927632034717,0,485,2129.096057431453,14684.0,701.0,1990,90.0
RL,Pave,Reg,Gtl,Sawyer,1Story,TA,PConc,TA,Mn,TA,GasA,Ex,Y,TA,,Unf,Attchd,5,1039.0,1039.0,0,841,1039.0,11625.0,504.0,1965,75.0
RL,Pave,Reg,Gtl,Sawyer,1.5Fin,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,Gd,Unf,Attchd,5,1271.0,720.0,551,0,720.0,21286.0,312.0,1948,115.0
RL,Pave,Reg,Gtl,Edwards,1.5Fin,TA,BrkTil,TA,No,TA,GasA,Ex,Y,TA,,Unf,Detchd,5,1367.0,861.0,406,241,961.0,8405.0,384.0,1900,50.0
RL,Pave,IR1,Gtl,NWAmes,2Story,TA,CBlock,Gd,No,Gd,GasA,Gd,Y,TA,TA,Fin,Attchd,7,2093.0,791.0,857,0,1236.0,20544.0,542.0,1986,46.0
RL,Pave,IR1,Gtl,CollgCr,1Story,TA,CBlock,TA,Av,TA,GasA,Ex,Y,TA,Fa,Unf,Attchd,5,864.0,864.0,0,460,864.0,15523.0,338.0,1972,36.0
RL,Pave,Reg,Gtl,SWISU,1.5Fin,TA,PConc,TA,No,TA,GasA,Ex,Y,Gd,Gd,Unf,Detchd,6,2447.0,804.0,748,0,1699.0,9638.0,336.0,1919,50.0
RL,Pave,Reg,Gtl,NAmes,SFoyer,TA,PConc,TA,Gd,TA,GasA,Ex,Y,Gd,,RFn,Attchd,6,1054.0,936.0,0,763,1054.0,8800.0,480.0,1963,80.0
RL,Pave,Reg,Gtl,Mitchel,1Story,TA,PConc,Gd,No,Gd,GasA,Ex,Y,TA,,NoGarage,,5,1120.0,1120.0,0,206,1120.0,8402.0,0.0,2007,70.0
RL,Pave,Reg,Gtl,Somerst,1Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,7,1616.0,1616.0,0,0,1616.0,8688.0,834.0,2005,73.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,RFn,Attchd,5,1073.0,1073.0,0,836,1073.0,10289.0,515.0,1965,79.0
RL,Pave,Reg,Mod,Mitchel,1Story,TA,CBlock,Gd,Av,Gd,GasA,Gd,Y,TA,TA,RFn,Attchd,5,1389.0,1389.0,0,1071,1389.0,10010.0,418.0,1974,77.0
RL,Pave,IR1,Gtl,Edwards,1Story,TA,CBlock,TA,No,TA,GasA,Ex,Y,TA,,Unf,Detchd,4,861.0,861.0,0,262,861.0,12342.0,539.0,1940,
RL,Pave,Reg,Gtl,SWISU,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,Detchd,7,1135.0,560.0,560,350,575.0,7200.0,576.0,1936,60.0
RL,Pave,Reg,Gtl,CollgCr,2Story,Gd,PConc,Ex,Gd,Ex,GasA,Ex,Y,Gd,TA,RFn,BuiltIn,8,2828.0,1466.0,1362,1150,1466.0,9965.0,1007.4922406197524,2006,77.0
RL,Pave,IR1,Gtl,StoneBr,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,TA,RFn,Attchd,8,1616.0,1595.0,0,1180,1616.0,5389.0,608.0,1995,39.0
RL,Pave,IR1,Gtl,Veenker,1Story,Gd,CBlock,Gd,Gd,Gd,GasA,TA,Y,Gd,Fa,RFn,Attchd,5,1437.0,1437.0,0,1157,1437.0,10768.0,528.0,1976,90.0
RL,Pave,Reg,Gtl,CollgCr,1Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,TA,Unf,Attchd,7,1630.0,1630.0,0,0,1630.0,9750.0,451.0,2000,75.0
RL,Pave,Reg,Gtl,Timber,1Story,Gd,PConc,Ex,Gd,Ex,GasA,Ex,Y,Gd,Gd,Fin,Attchd,8,1800.0,1800.0,0,1274,1800.0,14331.0,765.0,2002,85.0
RL,Pave,Reg,Gtl,Veenker,SLvl,Gd,CBlock,TA,No,TA,GasA,Ex,Y,TA,TA,RFn,Attchd,6,1855.0,528.0,761,0,1094.0,9600.0,512.0,1976,80.0
RL,Pave,IR3,Gtl,Gilbert,2Story,TA,PConc,Gd,No,Gd,GasA,Ex,Y,TA,TA,Fin,BuiltIn,6,1675.0,841.0,783,0,892.0,24682.0,502.0,1999,
RL,Pave,IR1,Gtl,SawyerW,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,BuiltIn,7,2084.0,956.0,1128,656,956.0,10142.0,618.0,2004,76.0
RL,Pave,Reg,Gtl,Edwards,1.5Fin,TA,CBlock,TA,Mn,TA,GasA,TA,N,TA,,Unf,Detchd,5,1111.0,616.0,495,236,616.0,9084.0,200.0,1941,60.0
RL,Pave,IR1,Gtl,BrkSide,1Story,Gd,CBlock,TA,No,TA,GasA,Gd,Y,TA,,NoGarage,,3,729.0,270.0,0,0,729.0,4130.0,0.0,1935,56.0
RL,Pave,IR1,Gtl,NWAmes,1Story,TA,CBlock,Gd,No,Gd,GasA,TA,Y,TA,TA,Unf,Attchd,6,1586.0,1362.0,0,0,1586.0,17043.0,435.0,1979,48.0
RL,Pave,IR1,Gtl,StoneBr,1Story,Ex,PConc,Ex,No,Ex,GasA,Ex,Y,Ex,Gd,Fin,Attchd,9,2234.0,2154.1927632034717,0,1904,2129.096057431453,17423.0,1007.4922406197524,2008,63.0
RL,Pave,IR1,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,NoGarage,,4,858.0,858.0,0,614,858.0,8125.0,0.0,1971,
RL,Pave,IR1,Gtl,Mitchel,1Story,TA,CBlock,TA,No,TA,GasA,Ex,Y,TA,,NoGarage,,5,833.0,833.0,0,625,833.0,8780.0,0.0,1985,
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Detchd,5,1283.0,931.0,0,504,1283.0,7763.0,506.0,1962,70.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,Gd,Fin,Attchd,6,1644.0,1416.0,0,1285,1644.0,9600.0,418.0,1953,80.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,RFn,Attchd,6,1383.0,1383.0,0,565,1383.0,11600.0,292.0,1960,80.0
RL,Pave,Reg,Gtl,NWAmes,1Story,TA,CBlock,Gd,No,Gd,GasA,TA,Y,TA,TA,Unf,Attchd,6,2073.0,1542.0,0,790,2073.0,13175.0,500.0,1978,85.0
RM,Pave,Reg,Gtl,OldTown,2Story,TA,PConc,TA,No,TA,GasA,Gd,Y,Gd,Po,Unf,Detchd,5,1539.0,650.0,581,0,958.0,10440.0,686.0,1904,60.0
RL,Pave,Reg,Gtl,CollgCr,1Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,7,1552.0,1552.0,0,24,1552.0,10084.0,782.0,2005,84.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,Ex,Y,TA,,Unf,Detchd,5,925.0,925.0,0,338,925.0,9100.0,429.0,1965,70.0
RL,Pave,Reg,Gtl,CollgCr,1Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,7,1414.0,1414.0,0,24,1414.0,8773.0,494.0,2004,65.0
C,Pave,IR1,Gtl,IDOTRR,1.5Fin,Fa,CBlock,TA,No,TA,GasA,TA,N,Fa,,NoGarage,,3,1526.0,1013.0,0,0,1013.0,8470.0,0.0,1915,105.0
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,Ex,Y,TA,,Fin,Attchd,5,1712.0,1626.0,0,528,1712.0,8393.0,588.0,1959,70.0
RL,Pave,IR1,Gtl,NridgHt,1Story,Gd,PConc,Ex,Av,Ex,GasA,Ex,Y,Gd,Gd,RFn,Attchd,8,1717.0,1709.0,0,0,1717.0,11146.0,908.0,2006,87.0
RM,Pave,Reg,Gtl,OldTown,2Story,TA,BrkTil,Fa,No,Fa,GasA,TA,Y,Ex,,Unf,Detchd,5,1750.0,636.0,661,0,1089.0,9000.0,240.0,1880,50.0
RM,Pave,Reg,Gtl,BrkSide,1.5Fin,Gd,BrkTil,TA,No,TA,GasA,TA,Y,TA,,Unf,Detchd,6,1176.0,698.0,390,0,786.0,6000.0,624.0,1937,50.0
RL,Pave,IR1,Gtl,Gilbert,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,TA,RFn,Attchd,8,1936.0,1406.0,482,0,1454.0,11194.0,504.0,2000,106.0
RL,Pave,IR1,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Detchd,4,858.0,858.0,0,322,858.0,7340.0,684.0,1971,
RL,Pave,Reg,Gtl,CollgCr,2Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,Gd,RFn,Attchd,8,1919.0,1079.0,840,0,1079.0,15611.0,685.0,2006,120.0
RM,Pave,Reg,Gtl,OldTown,2Story,TA,BrkTil,Fa,No,Fa,GasA,Ex,Y,Gd,,Unf,Detchd,7,1762.0,596.0,764,0,998.0,7200.0,576.0,1920,60.0
RL,Pave,IR1,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Detchd,5,1728.0,1728.0,0,231,1728.0,13101.0,576.0,1965,74.0
RL,Pave,Reg,Gtl,NridgHt,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,BuiltIn,7,1626.0,764.0,862,573,764.0,2448.0,474.0,2003,36.0
RL,Pave,IR1,Gtl,Gilbert,2Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,Gd,RFn,Attchd,7,1496.0,654.0,832,554,664.0,17104.0,426.0,2006,58.0
RL,Pave,Reg,Gtl,SWISU,1Story,TA,BrkTil,Gd,Mn,Gd,GasA,TA,N,TA,,Unf,Detchd,6,790.0,768.0,0,384,790.0,6292.0,160.0,1930,52.0
RL,Pave,Reg,Gtl,NWAmes,2Story,TA,CBlock,Gd,No,Gd,GasA,TA,Y,TA,TA,RFn,Attchd,7,1935.0,793.0,793,0,1142.0,12384.0,550.0,1976,
RL,Pave,Reg,Gtl,NWAmes,2Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,Gd,RFn,Attchd,7,1964.0,803.0,866,403,1098.0,10480.0,483.0,1976,80.0
RM,Pave,Reg,Gtl,OldTown,2Story,TA,PConc,TA,No,TA,GasA,Fa,Y,Gd,Gd,Unf,Detchd,8,1666.0,588.0,833,0,833.0,5100.0,228.0,1925,
RL,Pave,Reg,Gtl,CollgCr,SLvl,Gd,CBlock,Gd,Av,Gd,GasA,TA,Y,TA,,Unf,Attchd,5,985.0,985.0,0,595,985.0,8385.0,328.0,1977,65.0
RM,Pave,Reg,Gtl,NridgHt,1Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,Gd,RFn,Attchd,7,1358.0,1358.0,0,720,1358.0,8198.0,484.0,2004,59.0
RM,Pave,Reg,Gtl,CollgCr,1Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,6,848.0,848.0,0,662,848.0,4426.0,420.0,2004,
RL,Pave,IR1,Gtl,NridgHt,2Story,Gd,PConc,Gd,Mn,Gd,GasA,Ex,Y,Ex,Gd,Fin,BuiltIn,8,1970.0,1085.0,850,0,1120.0,11065.0,753.0,2006,86.0
RL,Pave,IR1,Gtl,StoneBr,1Story,Gd,PConc,Ex,Mn,Ex,GasA,Ex,Y,Gd,Gd,Fin,Attchd,8,2046.0,2046.0,0,0,2046.0,11844.0,834.0,2008,80.0
RL,Pave,IR1,Gtl,CollgCr,2Story,Gd,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,TA,RFn,Attchd,7,1865.0,992.0,873,735,992.0,10316.0,839.0,2000,
RL,Pave,IR1,Gtl,BrkSide,2.5Unf,TA,BrkTil,TA,No,TA,GasA,Gd,N,Gd,,Unf,Detchd,6,2134.0,844.0,689,0,1445.0,11888.0,441.0,1916,
RL,Pave,Reg,Mod,NoRidge,2Story,Gd,PConc,Gd,Gd,Gd,GasA,Ex,Y,Gd,TA,RFn,Attchd,7,2646.0,1347.0,1274,987,1372.0,9900.0,656.0,1993,90.0
RM,Pave,Reg,Gtl,OldTown,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Attchd,6,1236.0,912.0,0,600,1236.0,7407.0,923.0,1957,90.0
RL,Pave,IR1,Mod,Mitchel,1Story,TA,CBlock,Gd,Av,Gd,GasA,TA,Y,TA,,Unf,Attchd,5,902.0,864.0,0,301,902.0,8885.0,484.0,1983,
RL,Pave,IR2,Gtl,Sawyer,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,Unf,Detchd,5,912.0,912.0,0,737,912.0,12968.0,352.0,1962,
RL,Pave,IR1,Gtl,NAmes,1Story,TA,CBlock,TA,Gd,TA,GasA,Fa,Y,TA,Gd,Fin,Attchd,6,1656.0,1080.0,0,639,1656.0,31770.0,528.0,1960,130.7618378042347
RL,Pave,Reg,Gtl,NAmes,SLvl,TA,CBlock,TA,Gd,TA,GasA,TA,Y,TA,TA,Unf,Attchd,6,1382.0,1362.0,0,672,1382.0,19296.0,884.0,1962,120.0
RH,Pave,Reg,Gtl,SawyerW,1Story,TA,Slab,NoBasement,NoBasement,NoBasement,GasA,TA,Y,TA,TA,Unf,Detchd,5,2020.0,0.0,0,0,2020.0,8400.0,630.0,1977,60.0
RL,Pave,Reg,Gtl,ClearCr,SLvl,TA,CBlock,TA,Av,TA,GasA,Gd,Y,TA,,Unf,Attchd,6,1052.0,1010.0,0,504,1052.0,8816.0,440.0,1971,80.0
RL,Pave,IR1,Gtl,NoRidge,2Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,TA,RFn,Attchd,8,2531.0,1318.0,1203,56,1328.0,12257.0,752.0,1995,65.0
RL,Pave,IR1,Gtl,CollgCr,2Story,Gd,PConc,Gd,Mn,Gd,GasA,Ex,Y,Gd,TA,Fin,Attchd,8,1852.0,1004.0,848,668,1004.0,9066.0,660.0,1999,73.0
RL,Pave,IR1,Gtl,Somerst,1Story,Gd,PConc,Ex,Mn,Ex,GasA,Ex,Y,Gd,Gd,RFn,Attchd,8,1660.0,1660.0,0,1220,1660.0,10182.0,500.0,2006,85.0
FV,Pave,IR1,Gtl,Somerst,1Story,Gd,PConc,Ex,Av,Ex,GasA,Ex,Y,Gd,TA,Fin,Attchd,9,1709.0,1698.0,0,1238,1709.0,5119.0,506.0,1999,50.0
RL,Pave,IR1,Gtl,Sawyer,1Story,TA,CBlock,TA,Mn,TA,GasA,Gd,Y,Gd,,Unf,Detchd,6,912.0,912.0,0,832,912.0,6768.0,288.0,1961,65.0
RL,Pave,IR1,Gtl,CollgCr,2Story,TA,PConc,Gd,No,Gd,GasA,Ex,Y,Gd,,RFn,Attchd,6,1764.0,928.0,836,821,928.0,15426.0,470.0,1997,65.0
RL,Pave,IR1,Gtl,NWAmes,2Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,TA,Unf,Attchd,6,1395.0,723.0,660,593,735.0,12936.0,497.0,1972,
RL,Pave,Reg,Gtl,Sawyer,1Story,TA,CBlock,TA,No,TA,GasA,Fa,Y,TA,,Fin,Attchd,5,1040.0,1040.0,0,824,1040.0,7500.0,308.0,1963,75.0
RL,Pave,Reg,Gtl,NridgHt,1Story,Ex,PConc,Ex,Gd,Ex,GasA,Ex,Y,Ex,Ex,Fin,Attchd,10,2392.0,2154.1927632034717,0,56,2129.096057431453,13472.0,968.0,2003,103.0
